X,Y,tourism,name,addr:street,addr:housenumber,addr:postcode,website,addr:city,information,addr:state,operator,phone,description,wikidata,ele,artwork_type,hiking,wheelchair,name:en,internet_access,opening_hours,wikipedia,artist_name,email,addr:country,start_date,amenity,attraction,direction_south,direction_southwest,direction_northeast,direction_southeast,direction_west,direction_north,smoking,board_type,direction_east,internet_access:fee,direction_northwest,ref,rooms
-74.6076064,41.4420381975452,camp_site,Deerpark / Deerpark / New York City NW KOA,Guymard Turnpike,108,12729,https://koa.com/campgrounds/deerpark/,,,,,845 754 8388,,,,,,,,wlan,24/7,,,deerparkkoa@acampfire.com,,,,,,,,,,,,,,,,,
-74.884121,42.5372890975452,camp_site,Emmanuel Christian Campgrounds,,,,,,,,Tri-County Baptist,+1  (607) 652-3713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5855028,43.4624078975452,camp_site,E. U. Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.5370698,43.4966608975452,camp_site,Fall Stream campsite,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-73.5513375,43.6134012975452,camp_site,FB0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5514555,43.6140380975452,camp_site,FB0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5521582,43.6141819975452,camp_site,FB0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5516035,43.6131297975452,camp_site,FB003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5518074,43.6129860975452,camp_site,FB004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5520557,43.6128383975452,camp_site,FB005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5525337,43.6125738975452,camp_site,FB007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5523352,43.6127136975452,camp_site,FB007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.552877,43.6128536975452,camp_site,FB008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5547954,43.6127608975452,camp_site,FB009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5532324,43.6154624975452,camp_site,FB012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5529178,43.6153360975452,camp_site,FB013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5540014,43.6143650975452,camp_site,FB014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5532968,43.6149031975452,camp_site,FB017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.4164085,42.6996835975452,camp_site,Fillmore Glen State Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.9690767,42.6885136975452,camp_site,Forest Lake Campground,Hickey Road,5816,13158,https://forestlakecampground.com/,Truxton,,NY,,+1-607-842-6401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5274781,42.3192855975452,camp_site,Fox Hollow Camping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.885675,40.5952284975452,camp_site,Goldenrod Campground,,,,,,,,National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7179645,44.2527787975452,camp_site,Gulf Brook Campsite #1,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.717334,44.2532838975452,camp_site,Gulf Brook Campsite #2,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5561922,43.6189470975452,camp_site,H001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5567555,43.6185703975452,camp_site,H002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5562405,43.6192850975452,camp_site,H003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.9005498,42.0545563975452,camp_site,Highbanks Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.5724048,43.5127234975452,camp_site,Jessup River campsite,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-75.9320291,44.3226059975452,camp_site,Keewaydin State Park Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7015713,43.3950694975452,camp_site,King Phillips Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0152217,42.0836139975452,camp_site,Koa Camping,,,,,,,,,,27-APR-11 15:40:04,,102.98,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5798974,42.3436120975452,camp_site,KOA Kampgrounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5766261,43.4142259975452,camp_site,"Lake Hadlock Inn, Beach and Campground",Grove Way,5675,12827,,Fort Ann,,,info@lakehadlock.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.367144,43.0950755975452,camp_site,Lake Lauderdale Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7599064,42.2685184975452,camp_site,Lakeside Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.069931,42.4093361975452,camp_site,Lamoka Baptist Camp,,,,https://lamoka.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.7695612,42.0776863975452,camp_site,Lean to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.9767461,42.6261959975452,camp_site,Letchworth FLT Lean To,,,,http://www.fltconference.org/,,,,,,,,,,,no,,no,,,,,,,,,,,,,,,yes,,,no,,,
-73.5738884,44.1539396975452,camp_site,Lincoln Pond Interior Campsites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5553918,44.1650232975452,camp_site,Lincoln Pond Interior Campsites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.550803,43.4185383975452,camp_site,Little Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.6373423,44.2564922975452,camp_site,Long View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7123513,44.2600333975452,camp_site,Lost Pond Campsite,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.522486,42.5870423975452,camp_site,Mallet Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9092847,42.0691451975452,camp_site,Miller Hollow Campgrounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.4142575,43.9482026975452,camp_site,Monitor Bay Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.8578464,43.2430600975452,camp_site,Niagra Woodlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.7543569,41.9613696975452,camp_site,Onteora Scout Reservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9654447,44.0951923975452,camp_site,Oswegatchie 41/High Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9654666,44.0971129975452,camp_site,Oswegatchie 42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9657078,44.1010168975452,camp_site,Oswegatchie 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9668695,44.1027797975452,camp_site,Oswegatchie 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9631431,44.1082257975452,camp_site,Oswegatchie 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.7300648,42.1000923975452,camp_site,Paradise Bay Park Family Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.341507,40.8064367975452,camp_site,Park Shore Day Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.378474,44.9452196975452,camp_site,Pine Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.9724655,43.0521546975452,camp_site,Pine Woods Camping Area,,,,https://parks.ny.gov/parks/172/details.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.455721,44.0490665975452,camp_site,Port Henry Village Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0184124,42.0924017975452,camp_site,Rip Van Winkle Camping,,,,,,,,,,27-APR-11 11:10:04,,107.5523681640625,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6633234,42.9544959975452,camp_site,Rochester Rotary Sunshine Campus,Five Points Rd,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.415657,43.2660294975452,camp_site,Rock Lake tentsite,,,,,,,,NYSDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.9800888,43.0495295975452,camp_site,Rolling Hills Camping Area,,,,https://parks.ny.gov/parks/172/details.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9802667,41.9646298975452,camp_site,Russell Brook Campsites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8538518,43.2194058975452,camp_site,Rustic Barn Campground,New York 9N,4748,12822,,Corinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.38543,43.9077808975452,camp_site,Salmon River campsite (unofficial),,,,,,,,,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-74.1863619,41.7304085975452,camp_site,Samuel F. Pryor III Shawangunk Gateway Campground,Route 299,953,12525,http://mohonkpreserve.org/camping,Gardiner,,NY,American Alpine Club,(845) 255 -0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.4246445,43.2917976975452,camp_site,Silver Lake tentsite,,,,,,,,NYSDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0028444,43.9069442975452,camp_site,Site 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0009051,43.9058353975452,camp_site,Site 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.9956675,43.9059188975452,camp_site,Site 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.5485754,42.0825793975452,camp_site,Sky Lake Camp and Retreat Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.306147,42.0677602975452,camp_site,Sleepy Hollow Campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.895828,44.1153933975452,camp_site,Sno-bird,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.6211336,43.5871841975452,camp_site,South Lake campsite,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-73.5460239,43.6401768975452,camp_site,ST001,,,,https://www.reserveamerica.com/campsiteDetails.do?siteId=245603&contractCode=NY&parkId=131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.4201535,43.8187953975452,camp_site,Stephens Pond tent site,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-73.8859505,40.5960432975452,camp_site,Tamarack Campground,,,,,,,,National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.5656024,43.6093356975452,camp_site,Third Cedar Lake campsite,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-74.0470503,42.6508513975452,camp_site,Thompsons Lake Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8696103,43.4329813975452,camp_site,Thousand Acres Ranch Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.3701408,43.8808124975452,camp_site,Tirrell Pond tent site,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-74.3779782,43.8870439975452,camp_site,Tirrell Pond tent site,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-74.6566704,44.2474218975452,camp_site,Vingo,,,,,,,,Camp Massawepie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0563812,44.1994209975452,camp_site,Wanika Falls campsite,,,,,,,,NYSDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.9173585,42.3374161975452,camp_site,Watkins Glen Family Camping,,,,,,,,,,,,,,,,Watkins Glen Family Camping,,,,,,,,,,,,,,,,,,,,,,
-74.3624848,43.2635103975452,camp_site,West Stony Creek campsite #1,,,,,,,,NYSDEC,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
-74.367138,43.2610578975452,camp_site,West Stony Creek campsite #2,,,,,,,,NYSDEC,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
-74.8358101,41.6715350975452,camp_site,White Lake Covenanter Camp,,,,,,,,Reformed Presbyterian Church of North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9644031,44.1829778975452,camp_site,Wilderness Campground at Heart Lake,Adirondack Loj Road,1002,12946,http://www.adk.org/page.php?pname=wilderness-campground,Lake Placid,,,Adirondack Mountain Club,518 523 3441,,,,,,,,,,,,loj@adk.org,,,,,,,,,,,,,,,,,
-74.6559063,41.9238291975452,camp_site,Willowemoc Campground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.3094314,43.2513741975452,camp_site,Woods Lake Campsie #4,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-74.3102472,43.2505639975452,camp_site,Woods Lake Campsite #3,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-74.0618846,43.8176820975452,camp_site,,Northwoods Club Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0358866,43.6255973975452,camp_site,,,,,,,,,NY DEC,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
-74.6476471,43.5982872975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.5379966,43.6279922975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2007214,43.8308293975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2327631,43.8424396975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2315024,43.8461035975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2320657,43.8460183975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2303383,43.8501347975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2324841,43.8514925975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.236899,43.8515312975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2405254,43.8504828975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2419362,43.8511405975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2453051,43.8492874975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2435777,43.8512449975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0240322,43.6057461975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0248503,43.6079088975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.061909,43.6131878975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.055436,43.6133715975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0365797,43.6177902975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0358979,43.6182038975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.079236,43.6087444975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0705242,43.6093736975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0361706,43.6258370975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.0364498,43.6270378975452,camp_site,,,,,,,,,NY DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7140606,44.0879937975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6869098,44.1057210975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8056897,44.0443871975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8057339,44.0449183975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8057996,44.0454466975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8089247,44.0602741975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8090746,44.0608854975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9138202,44.1000361975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.749893,44.1418605975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7504831,44.1412926975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7500995,44.1418990975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7516043,44.1416430975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7508506,44.1422608975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8622467,44.1462806975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8622943,44.1464832975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8625042,44.1465857975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.83312,44.1777021975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8280258,44.1808748975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9369617,44.1904431975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9364219,44.1911643975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9365442,44.1913456975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9370938,44.1911956975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9367035,44.1916182975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9378166,44.1899753975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9379682,44.1901599975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9375551,44.1910744975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9383142,44.1911946975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9390504,44.1912706975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9395198,44.1915965975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9398927,44.1918946975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9463722,44.1938606975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.948705,44.1941495975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9488781,44.1942428975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9487158,44.1945284975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.95152,44.1939495975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9520068,44.1939457975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.015721,44.1535435975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0161114,44.1537027975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.1833514,44.1826848975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.1835606,44.1828022975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9816891,44.1191236975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated camp-site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9804647,44.1197120975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated camp-site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9823525,44.1206983975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated camp-site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9828182,44.1203539975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated camp-site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9712779,44.1290490975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated camp-site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8256627,44.0957939975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8252816,44.0963332975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8171531,44.1105126975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8144868,44.1139013975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8132083,44.1147914975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9621137,44.1089047975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9621847,44.1093338975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9551506,44.1145491975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9930069,44.1134933975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9934824,44.1133289975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9818462,44.1248332975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.738957,44.1424184975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.7389285,44.1425385975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8232806,44.1449319975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8998831,44.1260138975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8991802,44.1266308975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8991963,44.1268339975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8843811,44.1438113975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.8838673,44.1457956975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9788616,44.1593535975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0217619,44.1047831975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.2413566,44.1835075975452,camp_site,,,,,,,,,NYSDEC,,NYSDEC designated campsite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.5137652,43.6487270975452,camp_site,,,,,,,,,NYSDEC,,,,,,,no,,no,,,,,,,,,,,,,,,,,,,,,
-73.9541285,43.9434305975452,camp_site,,,,,,,,,NYSDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
